2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbb78ad2-574a-4a4a-b5b1-79bf3c06a46e, number=84749, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201301/14416.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbbc5388-649e-495d-baa2-092e3ee15336, number=36975, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201200/36975.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbbd0cc5-3103-4502-9175-01531fbdb751, number=19742, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201202/19742.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbbe2571-1031-4667-bfe2-784328fea362, number=82153, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201203/82153.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbd1afb0-4640-48fa-aed9-b2247de45a73, number=46566, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201200/46566.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbd5fb25-6cd1-458a-b502-7cc5a73c3dab, number=35245, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201110/35245.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbd61d8b-c98d-4c1f-ac75-a90ec6d0504a, number=85036, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201303/14703.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbd6e797-a8b1-482b-b352-e2cfc0a6f7e8, number=84495, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201301/14162.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbd7663b-4299-40e3-ac22-2174a4ff7de3, number=21913, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201201/21913.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbdc59b4-d3e7-41fd-af3a-5b8feb8594ee, number=13767, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201109/13767.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbe9615b-2740-47bb-928a-89380154aa5f, number=35833, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201200/35833.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbea246f-1035-44ee-a3b2-2f36206936b5, number=8707, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/8707.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbeb7cfc-7055-40fa-a5da-c69ceefc7dc9, number=29591, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201111/29591.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbef5a4e-126e-454b-a7c9-81ebc3128d25, number=84192, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201211/13859.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbf037dd-e45e-4e8d-940b-2ac3ccd9494b, number=34652, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201110/34652.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
